Plants,Andrena.flavipes,Aphantopus.hyperantus,Argynnis.paphia,Asilidae,Ectophasia,Eristalis.anthopnorina,Eristalis.arbustorum,Eristalis.hirta,Eristalis.interrupta,Eristalis.lineata,Eristalis.similis,Eristalis.tenax,Lasioglossum.calceatum,Lasioglossum.laticeps,Lycaena.virgaureae,Melanargia.galathea,Merodon.aeneus,Merodon.ruficornis,Muscidae,Myathropa.florea,Sphaerophoria.scripta,Syritta.pipiens,Syrphus.vitripennis,Tachinidae,Melitaea.athalia.britomartis,Zygaena.minos.purpuralis,Polistes.nimpha,Volucella.pellucens,Ancylolomia.tentaculella,Apis.mellifera,Bombus.terrestris.complex,Microgasterinae,Osmia.rapunculi,Bombus.lapidarus,Bombus.pratorum,Osmia.cantabrica,Bombus.ruderarius,Lasioglossum.zonulum,Polyommatus.icarus,Scaeva.pyrastri,Limenitis.camilla,Bombus.pascuorum,Episyrphus.balteatus,Helconinae,Argynnis.aglaja,Argynnis.niobe,Epistrophe.grossulariae,Eriothrix.rufomaculata,Eristalis.horticola,Ochlodes.sylvanus,Pimplinae,Pipiza.accola,Sicus.ferrugineus,Thymelicus.sylvestris,Halictus.tumulorum,Melanostoma.mellinum,Calliphoridae,Meliscaeva.cinctella,Panorpidae,Paragus.haemorrhous,Scathophagidae,Stenomicridae,Syrphidae,Bombus.hortorum,Platycheirus.stictus,Eupeodes.lapponicus,Lasioglossum.fulvicorne,Andrena.minutuloides,Banchinae,Campopleginae,Chelosia.vicina,Cynomya.mortuorum,Dolichopodidae,Eristalis.pertinax,Eristalis.pseudorupium,Lasioglossum.lativentre,Litophasia.hyalipennis,Lucilia.caesar,Tenthredo.amoena,Tryphoninae,Bombus.sylvarum,Scaeva.selenitica,Syrphus.torvus,Tephritidae,Adscita.Jodanita.sp,Aglais.io,Bombylidae,Brenthis.ino,Erebia.ligea,Eristalis.jugorum,Lycaena.alciphron,Maniola.jurtina,Merodon.equestris,Polyommatus.dorylas,Pyrgus.alveus.armoricanus,Satyrium.w.album,Volucella.bombylans,Zygaena.filipendulum,Zygaena.lonicerae,Angioneura.acerba,Coenonympha.glycerion,Helophilus.trivittatus,Tenthredo.sp,Osmia.leucomelana,Phengaris.alcon,Trachusa.byssinum,Ichneumoninae,Andrena.congruens,Chelosia.laticornis,Hylaeus.communis,Syrphus.ribesii,Temnostoma.vespiforme,Andrena.dorsata,Lasioglossum.fratellum,Lasioglossum.setulosum,Andrena.hattorfiana,Aglais.urticae,Andrena.coitana,Empididae,Eristalis.gomojunovae,Osmia.florisomnis,Parasyrphus.nigritarsis,Melanostoma.scalare,Andrena.bicolor,Cheloninae,Cylindromyia.pilipes,Halictus.rubicundus,Andrena.wilkella,Parasyrphus.lineolus,Acartophthalmidae,Diptera.sp,Opomyzidae
Achmil,5,2,1,1,7,1,1,1,2,6,1,18,3,1,5,1,2,1,2,23,3,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arnmon,0,52,0,0,0,0,0,0,0,0,0,3,0,0,18,3,0,0,1,0,1,0,0,0,14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Astmaj,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camper,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,11,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camser,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cenphr,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,21,14,0,0,2,6,0,1,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cireri,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,40,0,0,0,8,0,0,0,0,0,0,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diacar,0,0,0,0,1,0,0,0,0,0,0,17,3,0,0,24,0,0,0,0,2,0,0,0,1,17,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,2,5,1,1,1,1,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eupros,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Galalb,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
