"package","version","type"
"stats","3.4.3","base_package"
"graphics","3.4.3","base_package"
"grDevices","3.4.3","base_package"
"utils","3.4.3","base_package"
"datasets","3.4.3","base_package"
"methods","3.4.3","base_package"
"base","3.4.3","base_package"
"scales","0.5.0","attached_package"
"RColorBrewer","1.1-2","attached_package"
"classInt","0.1-24","attached_package"
"tmap","1.11","attached_package"
"data.table","1.10.4-3","attached_package"
"rgdal","1.2-16","attached_package"
"sp","1.2-7","attached_package"
"checkpoint","0.4.3","attached_package"
"viridisLite","0.3.0","loaded_not_attached"
"jsonlite","1.5","loaded_not_attached"
"splines","3.4.3","loaded_not_attached"
"geojsonlint","0.2.0","loaded_not_attached"
"foreach","1.4.4","loaded_not_attached"
"R.utils","2.6.0","loaded_not_attached"
"gtools","3.5.0","loaded_not_attached"
"shiny","1.0.5","loaded_not_attached"
"expm","0.999-2","loaded_not_attached"
"stats4","3.4.3","loaded_not_attached"
"yaml","2.2.0","loaded_not_attached"
"LearnBayes","2.15","loaded_not_attached"
"pillar","1.1.0","loaded_not_attached"
"lattice","0.20-35","loaded_not_attached"
"digest","0.6.15","loaded_not_attached"
"colorspace","1.3-2","loaded_not_attached"
"htmltools","0.3.6","loaded_not_attached"
"httpuv","1.3.5","loaded_not_attached"
"Matrix","1.2-12","loaded_not_attached"
"R.oo","1.21.0","loaded_not_attached"
"plyr","1.8.4","loaded_not_attached"
"XML","3.98-1.9","loaded_not_attached"
"rmapshaper","0.3.0","loaded_not_attached"
"raster","2.6-7","loaded_not_attached"
"gmodels","2.16.2","loaded_not_attached"
"xtable","1.8-2","loaded_not_attached"
"webshot","0.5.0","loaded_not_attached"
"gdata","2.18.0","loaded_not_attached"
"satellite","1.0.1","loaded_not_attached"
"gdalUtils","2.0.1.7","loaded_not_attached"
"mapview","2.3.0","loaded_not_attached"
"magrittr","1.5","loaded_not_attached"
"mime","0.5","loaded_not_attached"
"deldir","0.1-14","loaded_not_attached"
"R.methodsS3","1.7.1","loaded_not_attached"
"nlme","3.1-131","loaded_not_attached"
"MASS","7.3-47","loaded_not_attached"
"class","7.3-14","loaded_not_attached"
"tools","3.4.3","loaded_not_attached"
"geosphere","1.5-7","loaded_not_attached"
"stringr","1.2.0","loaded_not_attached"
"V8","1.5","loaded_not_attached"
"munsell","0.4.3","loaded_not_attached"
"compiler","3.4.3","loaded_not_attached"
"e1071","1.6-8","loaded_not_attached"
"rlang","0.1.6","loaded_not_attached"
"units","0.5-1","loaded_not_attached"
"grid","3.4.3","loaded_not_attached"
"tmaptools","1.2-2","loaded_not_attached"
"RCurl","1.95-4.10","loaded_not_attached"
"dichromat","2.0-0","loaded_not_attached"
"iterators","1.0.9","loaded_not_attached"
"htmlwidgets","1.0","loaded_not_attached"
"crosstalk","1.0.0","loaded_not_attached"
"bitops","1.0-6","loaded_not_attached"
"base64enc","0.1-3","loaded_not_attached"
"boot","1.3-20","loaded_not_attached"
"codetools","0.2-15","loaded_not_attached"
"DBI","0.7","loaded_not_attached"
"jsonvalidate","1.0.0","loaded_not_attached"
"curl","3.1","loaded_not_attached"
"R6","2.2.2","loaded_not_attached"
"knitr","1.19","loaded_not_attached"
"udunits2","0.13","loaded_not_attached"
"rgeos","0.3-26","loaded_not_attached"
"spdep","0.7-4","loaded_not_attached"
"KernSmooth","2.23-15","loaded_not_attached"
"stringi","1.1.6","loaded_not_attached"
"osmar","1.1-7","loaded_not_attached"
"Rcpp","0.12.15","loaded_not_attached"
"sf","0.6-0","loaded_not_attached"
"png","0.1-7","loaded_not_attached"
"leaflet","1.1.0","loaded_not_attached"
"spData","0.2.7.4","loaded_not_attached"
"coda","0.19-1","loaded_not_attached"
